feature,importance,abs_importance
ma_ratio_100,0.09489339000386536,0.09489339000386536
vol_20d,0.0944391911391012,0.0944391911391012
cpi,0.0778303586697189,0.0778303586697189
vol_60d,0.06910884853403075,0.06910884853403075
ma_cross_20_50,0.06850952260260591,0.06850952260260591
ret_5d,0.05839564682160942,0.05839564682160942
ma_ratio_20,0.058152963151511236,0.058152963151511236
ret_60d,0.055108081065874066,0.055108081065874066
term_spread,0.05369004152020498,0.05369004152020498
2y_treasury,0.05219366366505164,0.05219366366505164
ma_ratio_50,0.05086984914162205,0.05086984914162205
10y_treasury,0.049829553307372015,0.049829553307372015
ret_20d,0.04567698864690936,0.04567698864690936
unemployment,0.04122821733377133,0.04122821733377133
ret_1d,0.03871680837790753,0.03871680837790753
volume_ratio_20,0.03497885303913279,0.03497885303913279
volume_z_20,0.032755372204385264,0.032755372204385264
fed_funds,0.023622650775326152,0.023622650775326152
